Item ID,Color ID,Size ID,Item Name,Color Name,Size Name,SKU Description,Department,Class,Wholesale Price,Retail Price,Retail Markup $,Retail Markup %,On Hand #
01113,010,070,"2"" Standard Deluxe Black Belt",Black,7,Black 7,Belts,Black Belts,$10.49,$19.99,$9.50,90.6%,261
01113,010,080,"2"" Standard Deluxe Black Belt",Black,8,Black 8,Belts,Black Belts,$10.49,$19.99,$9.50,90.6%,47
01113C,010,020,"CUSTOM CENTURY DELUX BLACK BELT 2"" STANDARD",Black,2,Black 2,Belts,Program,$10.49,$19.99,$9.50,90.6%,0
01113C,010,030,"CUSTOM CENTURY DELUX BLACK BELT 2"" STANDARD",Black,3,Black 3,Belts,Program,$10.49,$19.99,$9.50,90.6%,0
01113C,010,040,"CUSTOM CENTURY DELUX BLACK BELT 2"" STANDARD",Black,4,Black 4,Belts,Program,$10.49,$19.99,$9.50,90.6%,0
01113C,010,050,"CUSTOM CENTURY DELUX BLACK BELT 2"" STANDARD",Black,5,Black 5,Belts,Program,$10.49,$19.99,$9.50,90.6%,0
01113C,010,060,"CUSTOM CENTURY DELUX BLACK BELT 2"" STANDARD",Black,6,Black 6,Belts,Program,$10.49,$19.99,$9.50,90.6%,0
01113C,010,070,"CUSTOM CENTURY DELUX BLACK BELT 2"" STANDARD",Black,7,Black 7,Belts,Program,$10.49,$19.99,$9.50,90.6%,0
01113C,010,080,"CUSTOM CENTURY DELUX BLACK BELT 2"" STANDARD",Black,8,Black 8,Belts,Program,$10.49,$19.99,$9.50,90.6%,0
01114,010,020,"1-3/4"" Heavy Core Deluxe Black Belt",Black,2,Black 2,Belts,Black Belts,$15.49,$29.99,$14.50,93.6%,70
01114,010,030,"1-3/4"" Heavy Core Deluxe Black Belt",Black,3,Black 3,Belts,Black Belts,$15.49,$29.99,$14.50,93.6%,70
01114,010,040,"1-3/4"" Heavy Core Deluxe Black Belt",Black,4,Black 4,Belts,Black Belts,$15.49,$29.99,$14.50,93.6%,29
01114,010,050,"1-3/4"" Heavy Core Deluxe Black Belt",Black,5,Black 5,Belts,Black Belts,$15.49,$29.99,$14.50,93.6%,52
01114,010,060,"1-3/4"" Heavy Core Deluxe Black Belt",Black,6,Black 6,Belts,Black Belts,$15.49,$29.99,$14.50,93.6%,76
01114,010,070,"1-3/4"" Heavy Core Deluxe Black Belt",Black,7,Black 7,Belts,Black Belts,$15.49,$29.99,$14.50,93.6%,66
01114,010,080,"1-3/4"" Heavy Core Deluxe Black Belt",Black,8,Black 8,Belts,Black Belts,$15.49,$29.99,$14.50,93.6%,65
01114C,010,020,"CUSTOM CENTURY DELUX BLACK BELT 1.6"" HEAVY",Black,2,Black 2,Belts,Program,$15.49,$29.99,$14.50,93.6%,0
01114C,010,030,"CUSTOM CENTURY DELUX BLACK BELT 1.6"" HEAVY",Black,3,Black 3,Belts,Program,$15.49,$29.99,$14.50,93.6%,0
01114C,010,040,"CUSTOM CENTURY DELUX BLACK BELT 1.6"" HEAVY",Black,4,Black 4,Belts,Program,$15.49,$29.99,$14.50,93.6%,0
01114C,010,050,"CUSTOM CENTURY DELUX BLACK BELT 1.6"" HEAVY",Black,5,Black 5,Belts,Program,$15.49,$29.99,$14.50,93.6%,0
01114C,010,060,"CUSTOM CENTURY DELUX BLACK BELT 1.6"" HEAVY",Black,6,Black 6,Belts,Program,$15.49,$29.99,$14.50,93.6%,0
01114C,010,070,"CUSTOM CENTURY DELUX BLACK BELT 1.6"" HEAVY",Black,7,Black 7,Belts,Program,$15.49,$29.99,$14.50,93.6%,0
01114C,010,080,"CUSTOM CENTURY DELUX BLACK BELT 1.6"" HEAVY",Black,8,Black 8,Belts,Program,$15.49,$29.99,$14.50,93.6%,0
01116,010,020,"2"" Brushed Cotton Elite Black Belt",Black,2,Black 2,Belts,Black Belts,$19.99,$39.99,$20.00,100.1%,55
01116,010,030,"2"" Brushed Cotton Elite Black Belt",Black,3,Black 3,Belts,Black Belts,$19.99,$39.99,$20.00,100.1%,60
01116,010,040,"2"" Brushed Cotton Elite Black Belt",Black,4,Black 4,Belts,Black Belts,$19.99,$39.99,$20.00,100.1%,156
01116,010,050,"2"" Brushed Cotton Elite Black Belt",Black,5,Black 5,Belts,Black Belts,$19.99,$39.99,$20.00,100.1%,182
01116,010,060,"2"" Brushed Cotton Elite Black Belt",Black,6,Black 6,Belts,Black Belts,$19.99,$39.99,$20.00,100.1%,108
